name,parent_road,name_en,highway,lat,lng
ซอย,,,residential,6.534011,101.289096
ซอย12-10 (ซอยเบิกฟ้า),,,residential,6.535988,101.291453
ซอย 1 หลังคาแดง ถนนร่มเกล้า,,,residential,6.5405,101.30613
ซอย 243,,,residential,6.536195,101.299691
ซอย 630,,,residential,6.533705,101.289517
ซอย 9,,,residential,6.540772,101.300888
ซอยกองทุน,,Soi Kongtoon,residential,6.540398,101.286437
ซอย กอดีรีย์,,Soi Kadiree,residential,6.535043,101.295739
ซอย กำบงบูเกะ 1,,Soi Kam Pong Buke 1,residential,6.518975,101.287155
ซอย กำบงบูเกะ 2,,Soi Kam Pong Buke 2,residential,6.519098,101.28674
ซอย กำบงบูเกะ 3,,Soi Kam Pong Buke 3,residential,6.519194,101.286316
ซอย กิตติ,,Soi Kitti,residential,6.535883,101.290022
ซอย คำปงบูเกะ,,Soi Kompongbukah,residential,6.52089,101.28531
ซอย จรัสพัฒนา,,Jaras Phattana Soi,residential,6.527223,101.289994
ซอย จาเราะ,,Soi Jarah,residential,6.541295,101.305022
ซอย จิตรภักดี,,Soi Jit Pakdee,residential,6.532787,101.287699
ซอย จิตรภักดี 1,,Soi Jittphak Dee 1,residential,6.533541,101.288277
ซอย ฐิติอรัญ,,,residential,6.544351,101.296414
ซอย ดาโอ๊ะ,,Soi Daoh,service,6.520408,101.287562
ซอยตัณฑ์วีระ 3,,,residential,5.773529,101.073498
ซอย บาเก็ง,,Soy Bakeng,residential,6.527942,101.292347
ซอย บาโงยตือเงาะ,,Soi Ba Ngoy Ter Ngok,residential,6.522084,101.289996
ซอยบ้านศุภารมย์,,,residential,6.529988,101.292491
ซอยบำรุง,,Bamroung Soi,unclassified,6.539446,101.285909
ซอย บุญลาภ,,,residential,6.553073,101.281518
ซอยบุตรคี,,,residential,6.534944,101.298878
ซอย บุตรสอง,,Soi Bud Song,residential,6.531501,101.291275
ซอย บุหงารำไพ,,,residential,6.523898,101.28783
ซอย เบอร์เส้ง 4,,Soi Beseng 4,residential,6.525861,101.285235
ซอย เบอร์เส้งพัฒนา 2,,Soi Bersengpattana 2,unclassified,6.530568,101.286912
ซอย เบอร์เส้งพัฒนา 3,,Soi Bersengpattana 3,residential,6.53009,101.287165
ซอย เบอร์เส้งพัฒนา 6,,Soi Bersaeng Pattana 6,residential,6.530311,101.290048
ซอย ผ่องอำไพ,,Soi Phong Umpai,residential,6.543547,101.302915
ซอยพงษ์เจริญ,,Soi Phong Charoen,residential,6.54259,101.29595
ซอย พลายแก้ว,,,residential,6.539077,101.306584
ซอยพัฒนนิมิต,,,residential,6.531829,101.286881
ซอย พุฒิพงศ์,,Soi Putipong,residential,6.536587,101.290681
ซอย พุทธชาติ,,Soi Phutthachat,residential,6.538127,101.300356
ซอยพูนทรัพย์,,,residential,6.544789,101.2977
ซอยพูนสุข,,Soi Poonsuk,residential,6.540319,101.286872
ซอย มาลัย,,Soi Malai,residential,6.543184,101.294626
ซอยมุสลิมพัฒนา,,Soi Muslim Phatthana,residential,6.5569,101.300542
ซอยมูซอรวมญาติ,,,unclassified,6.533532,101.290571
ซอยยะผา,,Soi Ypar,residential,6.571906,101.297666
ซอยยิ้มยิ้ม,,,residential,6.543594,101.29616
ซอยเย็นจิตต์,,Soi Yenjit,residential,6.53995,101.287354
ซอย แยนาบริหาร,,Soi Yeenaborihan,residential,6.539417,101.293899
ซอยแยนาวากัฟ,,Soi Yeenawakaf,residential,6.54014,101.292445
ซอย ร่มเกล้า,,,residential,6.542098,101.305687
ซอย ร่มเกล้า 1,,,residential,6.540902,101.306039
ซอยรวมเงิน,,,residential,6.537732,101.291481
ซอยรวมใจ,,Soi Ruomjai,residential,6.538364,101.293625
ซอยร่วมใจ,,Soi Ruamjai,residential,6.540483,101.285993
ซอยรวมเพข่ร,,,residential,6.538693,101.294816
ซอยรวมวิตน,,,residential,6.537829,101.293744
ซอยรัตนกิจ 3,,,unclassified,5.772589,101.073279
ซอย โรงสี,,,residential,6.536173,101.300109
ซอย วาลิด,,Lorong Walid,residential,6.569961,101.297071
ซอยวิษญ,,,residential,6.54306,101.294085
ซอย สพัฒนา,,,residential,6.542147,101.303577
ซอย สำราญ,,Soi Samran,residential,6.548675,101.292965
ซอยสำราญ,,Soi Samran,residential,6.549712,101.293647
ซอยสิทธิเวช,,Soi Sitiwait,residential,6.542239,101.28832
ซอย สีดา,,Sida,residential,6.528212,101.285999
ซอย สุขธร 10,,,residential,6.523229,101.272888
ซอย สุขธร 5,,,residential,6.524084,101.272817
ซอย สุขธร 7,,,residential,6.524164,101.273901
ซอย สุขธร 9,,,residential,6.523549,101.273232
ซอยสุขสวัสดิท์,,Soi Suksawat,residential,6.548903,101.29389
ซอย สุจริต,,Soi Sujarit,residential,6.545221,101.290005
ซอย อ.ไพรินทร์,,Soi Pairin,residential,6.531706,101.293033
ซอย ออมทอง,,Aomthong,residential,6.536501,101.294243
ซอย อัขขกร,,Soi Achakul,unclassified,6.530655,101.293709
ซอยอู่จันทร์,,,residential,6.54317,101.306254
ซอย โอ เอ็กซ์ โอ,,Soi O X O,residential,6.529585,101.286152
ซอยnเขมชาติ 1,,,residential,6.522478,101.270908
ตรอกฟูศักดิ์ 1,,,residential,5.770821,101.070685
ตรอกฟูศักดิ์ 2,,,residential,5.770583,101.071029
ตรอกฟูศักดิ์ 3,,,residential,5.770393,101.070712
ตือเบาะ ซอย 5,ตือเบาะ,Tuboh Soi 5,residential,6.541119,101.292048
ถนนคุปตาสา ซอย 2,ถนนคุปตาสา,Kuptasa Rd Soi 2,residential,6.551929,101.275242
ถนนคูหามุข ซอยนายสิน,ถนนคูหามุข,Kuhamuk Rd Soi Naisin,residential,6.552985,101.27992
ถนนเทศบาน 5 ซอย 1,ถนนเทศบาน 5,Tesaban Road 5 Soi 1,residential,6.550085,101.292561
ถนนเทศบาล 1 ซอย 1,ถนนเทศบาล 1,Tetsban 1 Road Soi 1,residential,6.550116,101.272681
ถนนเทศบาล ๕ ซอย สุชน,ถนนเทศบาล ๕,Tesaban 5 Road Soi Suchon,residential,6.54995,101.292951
ถนนเทศบาล 6 ซอย 1,ถนนเทศบาล 6,Tesaban 6 Soi 1,residential,6.548164,101.291632
ถนนเทศบาล 6 ซอย 4,ถนนเทศบาล 6,Tesaban 6 Soi 4,residential,6.548642,101.292471
ถนนนวลสกุล ๓ ซอยลิ้มเจริญ,ถนนนวลสกุล ๓,Nulsakul 3 Road Soi Limcharoen,residential,6.56016,101.285688
ถนนเบญจมิตร ซอยเย็นอากาศ 1,ถนนเบญจมิตร,Benjamit Soi Yen Akat 1,residential,6.543639,101.288497
ถนนผังเมือง 1 ซอย 2,ถนนผังเมือง 1,Pungmuang 1 Road Soi 2,residential,6.536446,101.283892
ถนนผังเมือง 1 ซอย รักมิตร,ถนนผังเมือง 1,Pungmuang 1 Road Soi Rakmit,residential,6.536865,101.284802
